FIPS Code,ozone,pm25,no2,so2,FIPS
01073,0.04706969696969698,9.525053711111108,23.874042,5.7470701538461535,01073
02090,0.0264612,10.84938719480519,21.928836000000004,10.608545199999998,02090
04013,0.05435577489177484,7.750165749999999,33.68200546875,1.8809935333333334,04013
04019,0.04959615217391304,5.8183240909090905,18.987786500000002,0.3905802,04019
05119,0.04352209090909091,9.876524875000001,19.265126799999997,1.6562596000000003,05119
06013,0.041811799999999996,6.133333,13.129637800000001,2.2653866666666667,06013
06019,0.05542137142857143,13.553175049999998,20.72230468965517,1.2604494,06019
06023,0.03255388888888888,6.219878133333334,4.614677444444443,0.16263255555555556,06023
06025,0.04808324999999999,10.323557550000002,21.925199299999996,1.8108449999999998,06025
06037,0.0541946923076923,10.996506957746478,27.843578732394363,1.6770354666666665,06037
06059,0.05107038888888889,9.221955249999999,26.345322388888885,0.46271733333333326,06059
06065,0.05704023943661972,10.469155730769229,18.32522452777777,0.6412511999999999,06065
06067,0.04751900000000001,9.830302428571427,14.855959096774194,2.0301134,06067
06071,0.061113578125000005,11.673567882352941,31.577331425000004,1.4403280666666667,06071
06073,0.050064680851063824,8.446804879999998,18.692752000000002,0.24330649999999998,06073
06085,0.0449899,9.632761,24.287300199999997,0.6242563999999999,06085
08001,0.05259985714285715,8.558138333333332,34.488622199999995,2.790812,08001
08031,0.0503285625,7.5878031,41.335816818181804,2.6298885000000003,08031
09001,0.05431649999999999,7.234319545454546,20.600566333333333,0.7780200000000002,09001
09003,0.05007828571428571,6.74201,22.9842326,0.7877783333333334,09003
09005,0.04909999999999999,4.4641848,7.3691545000000005,0.42991219999999997,09005
09009,0.049935299999999995,7.054757470588235,26.946301000000005,0.7301333999999999,09009
10003,0.048122450000000004,7.8716531199999995,22.5208582,1.1410627,10003
11001,0.045732714285714286,8.536219727272728,23.532859157894734,1.6885733333333335,11001
12011,0.03856385,6.36094085,20.5683385,0.51130725,12011
12031,0.04255128571428572,7.1384040526315795,18.038474700000002,2.075008666666667,12031
12057,0.045117,7.3401477,16.935741375000003,2.9427840909090914,12057
12086,0.038027099999999994,7.044150473684211,16.60663630769231,0.5894538,12086
12095,0.0421822,6.842894,15.173486428571428,0.5077076,12095
12103,0.0423886,7.025974000000001,13.089160666666666,1.2153985,12103
13089,0.0452708,8.840799299999999,25.9901159,0.5035882,13089
13121,0.052000000000000005,9.749662800000001,28.273141,1.5961382,13121
15003,0.031634,3.966235,10.7123536,2.2021245238095237,15003
16001,0.048281227272727274,7.395396368421051,25.910758599999998,0.9667355999999998,16001
17031,0.047153619999999986,9.932021684210527,28.523804818181826,1.9973329333333334,17031
17163,0.04895000000000001,9.944755428571428,19.776960666666664,3.0337521999999995,17163
18005,0.0493298,8.35657425,6.7734955,1.9777589999999998,18005
18089,0.046571181818181824,9.452881309523812,22.7830602,3.048425545454546,18089
18097,0.04618617391304348,10.111478675000003,22.584868666666665,1.5658757000000003,18097
18163,0.048269200000000005,9.171362866666666,16.2608036,2.6858883999999996,18163
19153,0.043493375,7.213003866666666,15.161781428571429,0.18661499999999998,19153
19163,0.042690450000000005,8.250444944444446,13.72393275,0.9757638,19163
19177,0.044135299999999995,7.060774,3.3390138,0.36950840000000007,19177
20133,0.04597414285714286,7.9591625,6.7310761999999995,1.6672536,20133
20191,0.048445,7.2356286,7.8879568,1.702556,20191
20209,0.043746400000000005,8.963125,21.9442844,2.5562426,20209
21019,0.046758,7.6627887999999995,12.746164199999999,0.8397029999999999,21019
21037,0.048832714285714285,8.097818142857143,9.0753728,1.4139912,21037
21059,0.047091400000000005,8.5038006,11.0659292,4.256729399999999,21059
21067,0.04790571428571428,8.088156399999999,14.892590000000002,0.5636304,21067
21111,0.04822499999999999,9.04365303125,24.6743429,2.9428135333333327,21111
21145,0.046701000000000006,8.4531774,12.9404956,1.5109237999999998,21145
22019,0.041395799999999996,7.485615800000001,14.634528714285711,2.3166776,22019
22033,0.041967866666666666,9.2232609,12.814197900000002,2.15847825,22033
22121,0.0415158,9.0763578,20.1272488,3.30146375,22121
23003,0.035384700000000005,4.736199200000001,5.1280228,0.3105318,23003
23005,0.0404213,6.961415199999999,19.460199600000003,1.8658708000000002,23005
23011,0.0416558,5.598326500000001,7.475317,1.1472745999999998,23011
24005,0.054786176470588234,8.624205166666668,24.030580111111114,2.1341716,24005
24033,0.049972526315789474,7.168438142857141,15.9036305,1.08674575,24033
25013,0.04848728571428572,5.6845254375000005,18.331359272727273,1.3959458333333334,25013
25025,0.0392626,6.234164739130433,25.229447200000003,0.9359285999999999,25025
25027,0.04512700000000001,5.735945125000001,23.2226452,1.0618691999999998,25027
26065,0.04556216666666666,7.611686666666667,14.575109500000003,1.991195,26065
26139,0.047679799999999994,8.304669,12.27095,2.1947094,26139
26163,0.04584321428571429,9.308103434782609,23.81550697058824,4.582781949999999,26163
27003,0.0409737,6.6127296,15.8964112,0.8955402000000001,27003
27053,0.0375758,7.028295999999998,24.237957200000004,1.9303728,27053
28049,0.04331549999999999,8.800028099999999,16.535659600000002,1.3259000000000003,28049
28059,0.0458976,8.19400075,11.099606,1.2952924,28059
29189,0.04850488888888889,8.936371,21.729493400000003,2.7196955,29189
29510,0.04400177777777777,9.719810999999998,23.969751125,2.994612111111111,29510
32003,0.05239938095238097,7.639691937500002,31.90735970967741,1.8433764,32003
32031,0.0487628085106383,5.871370199999999,26.103717800000005,0.8810472,32031
33015,0.04385413333333332,5.088206,6.4138328,1.7296232,33015
34007,0.04920244444444445,8.740668615384616,24.075529200000002,1.022419,34007
