,fips,cases,deaths,popdense,population,ageab55,ageab65,AR,AS,AT,AU,pct_highschool_or_less,cases rate 10k,deaths rate 10k,deaths cases 10k,pctpov,pctmale,pctwhite,pctblack,pctindian,pctasian,pcthispanic,type,ozone,pm25,no2,so2
0,46099,24977,264.0,92.298782,192876,25.245235280698488,0.1308042472884134,7.544490814208984,26.353281021118164,33.0394172668457,33.06281280517578,33.89777183532715,1294.977083722184,13.68755055061283,105.69724146214517,10.8,50.47595346232813,81.425887,6.4777367,2.3559177,2.4186524,5.038989,0,0.0462756666666666,6.692734,11.2260148,0.8015258
1,06025,22267,419.0,16.808918,181827,23.34031799457726,0.1296837103400484,30.271055221557617,24.319637298583984,30.19023895263672,15.219069480895996,54.5906925201416,1224.6256056581256,23.043882371704974,188.17083576593163,24.2,51.27676307699076,10.354898,2.4803797,0.77271252,1.196192,84.5617,0,0.0480832499999999,10.323557550000002,21.9251993,1.810845
2,48141,98540,1666.0,320.39377,840758,22.714264984692388,0.1226179233501198,21.533641815185547,23.71015167236328,31.441802978515625,23.314403533935547,45.24379348754883,1172.0376136771818,19.815452246663128,169.0683986198498,21.3,49.266733114641795,11.642470000000001,3.0509372999999997,0.27974756,1.119585,82.95026399999999,0,0.04870759375,7.993810615384613,29.22278713333333,1.767945636363636
3,38017,19866,167.0,39.708191,181516,22.38425262786753,0.1200665506071091,5.179396629333496,20.070274353027344,34.55971145629883,40.190616607666016,25.24967098236084,1094.4489741951122,9.200290883448291,84.06322359810733,10.7,50.57956323409507,84.281278,6.2231429,1.2390092,3.6062937,2.7589854000000003,0,0.0387042,6.6349225,11.0115586,0.7056644000000001
4,12086,298872,4188.0,561.55414,2761581,28.708591201923845,0.1622664698229023,18.55185890197754,27.279695510864258,24.382814407348633,29.785633087158203,45.8315544128418,1082.2496243999362,15.165226006407199,140.1268770577371,18.0,48.54892903738837,13.028479,15.579663,0.082670036,1.5382855000000002,69.059354,0,0.0380270999999999,7.044150473684211,16.60663630769231,0.5894538
5,47037,68812,570.0,531.11169,692587,23.711100554876147,0.1224322720466888,10.928995132446289,22.087562561035156,25.28174591064453,41.70169448852539,33.016557693481445,993.5502687748976,8.230012980318719,82.83438935069465,16.400000000000002,48.26527208856072,56.153524,27.090892,0.24718917,3.8493358,10.415442,0,0.0477154,8.624802466666667,23.2768973,0.9405884
6,55079,91624,1002.0,1516.053,948201,25.68094739406518,0.13605026782296148,11.713522911071777,28.3678035736084,28.952116012573242,30.9665584564209,40.081326484680176,966.2930117137611,10.567379701139316,109.35999301493058,19.900000000000002,48.42021891982818,50.969154,26.223871,0.57392893,4.578670499999999,15.350859,0,0.0443592666666666,8.458738136363637,22.7453581,1.2409344
7,20209,15576,198.0,420.94492,165324,24.07454453073965,0.1226742638697347,21.125925064086914,32.097843170166016,28.642301559448242,18.133930206298828,53.22376823425293,942.1499600783916,11.976482543369384,127.11864406779662,20.1,49.612881372335536,40.534949,21.903655999999998,0.4367182,5.1238779,29.319397000000002,0,0.0437464,8.963125,21.9442844,2.5562426
8,49035,107386,554.0,599.7226,1152633,20.9166317466184,0.1085835647599887,9.183904647827148,22.62474822998047,32.62113952636719,35.57020950317383,31.808652877807617,931.6582121108801,4.80638676838161,51.58959268433502,9.8,50.19932623827359,70.655012,1.7414911000000002,0.65710424,4.4745378,18.553086999999998,0,0.0529731363636363,8.101817107142859,25.314853631578945,1.21383875
9,44007,58946,1347.0,599.76031,636084,28.31088346822119,0.15283673225548838,14.22984504699707,30.982206344604492,25.813405990600586,28.974544525146484,45.21205139160156,926.701504832695,21.176448393608393,228.51423336613172,16.2,48.695455317222255,60.871363,8.661592,0.42101359,4.3000609,23.424421000000002,0,0.0474384285714285,6.14360105,21.22678828571429,0.674328125
10,06071,194377,1445.0,41.797852,2171603,22.90395620193931,0.11574905726322911,20.008663177490234,26.302734375,32.69942855834961,20.98917579650879,46.311397552490234,895.0853355792933,6.65407074865894,74.3400710989469,17.299999999999997,49.77659360389537,27.940652,8.1435695,0.38589006,7.121928,53.965896,0,0.061113578125,11.67356788235294,31.577331425000004,1.440328066666667
11,18163,15554,203.0,299.02878,180974,30.90057135279101,0.1689358692408855,9.919473648071289,32.49663543701172,30.571744918823242,27.012147903442383,42.41610908508301,859.460474985357,11.217080906649574,130.51305130513052,17.299999999999997,48.45944721341187,83.5446,9.5566213,0.19450308,1.280847,2.7351996,0,0.0482692,9.171362866666666,16.2608036,2.6858884
12,19153,41499,410.0,328.74194,487204,24.87849032438157,0.1306044285350695,8.47933578491211,24.46357536315918,30.347261428833008,36.7098274230957,32.94291114807129,851.7787210285629,8.4153660478978,98.79756138702136,11.1,49.31096624822456,77.185738,6.874533,0.16728105,5.0323889,8.5268185,0,0.043493375,7.213003866666666,15.161781428571429,0.1866149999999999
13,18089,39901,632.0,374.94806,484411,30.371110482627365,0.16536370974234701,11.34349250793457,35.063533782958984,31.02616310119629,22.56681251525879,46.407026290893555,823.7013610343283,13.046772265699994,158.39202025011906,16.5,48.40414441455706,53.971112,23.37478,0.15771731,1.6025648,19.385192,0,0.0465711818181818,9.452881309523812,22.7830602,3.048425545454546
14,27003,28973,323.0,323.73199,353813,28.063129393210534,0.1405035993589833,6.016981601715088,27.90099334716797,35.57676315307617,30.505264282226562,33.91797494888306,818.8788993055654,9.129116228063976,111.48310495979014,6.1,50.01964314482509,80.581266,6.67556,0.62801535,4.7420532,4.7400746,0,0.0409737,6.6127296,15.8964112,0.8955402000000001
